episode,reward
1,3.0
2,13.0
3,6.0
4,6.0
5,13.0
6,0.0
7,1.0
8,7.0
9,0.0
10,6.0
11,0.0
12,6.0
13,25.0
14,0.0
15,9.0
16,6.0
17,0.0
18,14.0
19,0.0
20,6.0
21,0.0
22,6.0
23,0.0
24,0.0
25,6.0
26,0.0
27,3.0
28,6.0
29,3.0
30,0.0
31,3.0
32,0.0
33,0.0
34,6.0
35,6.0
36,0.0
37,0.0
38,0.0
39,3.0
40,0.0
41,7.0
42,0.0
43,0.0
44,3.0
45,16.0
46,9.0
47,0.0
48,8.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,9.0
